,Immoweb ID,Property type,property sub-type,Price,Post code,Building condition,Kitchen type,Bedrooms,Furnished,Terrace surface,Tenement building,Number of frontages,Swimming pool,How many fireplaces?,Garden,Garden orientation,Garden surface,Terrace,Surface of the plot
7847,9529889,HOUSE,VILLA,1345000.0,2820,,USA hyper equipped,4.0,,,No,4.0,,,,,,,1440.0
7848,9709446,HOUSE,VILLA,875000.0,1410,,Installed,6.0,No,50.0,No,4.0,,,,South West,800.0,,1925.0
7849,9709428,HOUSE,VILLA,1500000.0,1410,,Installed,6.0,No,50.0,No,4.0,,,,South West,2800.0,,4000.0
7850,9479258,HOUSE,VILLA,279000.0,7830,To renovate,,3.0,No,,No,4.0,,,,,400.0,Yes,1047.0
7851,9591612,HOUSE,VILLA,499000.0,5060,,Hyper equipped,4.0,,20.0,No,4.0,,,,,1250.0,,1450.0
7852,9605077,HOUSE,VILLA,575000.0,2820,,,4.0,,,No,,No,1.0,Yes,North,,,3530.0
7853,9669442,HOUSE,VILLA,725000.0,2328,,,5.0,No,,No,,,,Yes,East,,,5268.0
7854,9516968,HOUSE,VILLA,775000.0,2230,,,2.0,No,,No,4.0,,,,,,,4900.0
7855,9505074,HOUSE,VILLA,795000.0,3080,Good,USA hyper equipped,5.0,No,,No,4.0,No,,,,,Yes,
7856,9538121,HOUSE,VILLA,985000.0,2590,,,,No,,No,4.0,,,,,,,2108.0
7857,9413740,HOUSE,VILLA,1550000.0,1410,As new,USA hyper equipped,6.0,No,100.0,No,4.0,,,,,1000.0,,2412.0
7858,8376248,HOUSE,VILLA,211800.0,4287,,,3.0,No,,,3.0,,,,,,,663.0
7859,9672334,HOUSE,VILLA,325000.0,7050,,,3.0,No,1.0,No,4.0,No,,,,1.0,,350.0
7860,9468729,HOUSE,VILLA,315000.0,9660,To be done up,Installed,6.0,,,,4.0,,1.0,Yes,South,,,1200.0
7861,9674870,HOUSE,VILLA,395000.0,7100,Just renovated,,4.0,,,,4.0,,1.0,,,,,750.0
7862,9682478,HOUSE,VILLA,439000.0,8434,,,4.0,No,,No,,,,Yes,South,,Yes,685.0
7863,9687622,HOUSE,VILLA,595000.0,2980,,,4.0,No,,No,,No,,,,,,1325.0
7864,9650956,HOUSE,VILLA,768000.0,8660,,,4.0,Yes,,No,,,,,,,,
7865,9622093,HOUSE,VILLA,1100000.0,9800,,,3.0,,67.0,No,,,,Yes,West,,,1642.0
7866,9645960,HOUSE,VILLA,1250000.0,7890,Good,Installed,6.0,No,,No,4.0,,,,,,Yes,16699.0
7867,9145866,HOUSE,VILLA,378500.0,8020,As new,Installed,5.0,No,,No,,No,,,,,,441.0
7868,9145867,HOUSE,VILLA,388500.0,8020,As new,Installed,5.0,No,,No,,No,,,,,,478.0
7869,9388651,HOUSE,VILLA,475000.0,2490,,,5.0,No,,No,4.0,No,,Yes,North,,,1203.0
7870,9388794,HOUSE,VILLA,695000.0,9250,,,5.0,No,,No,4.0,,,,,,,1792.0
7871,8801453,HOUSE,VILLA,735000.0,8510,To be done up,,7.0,No,,No,4.0,,,Yes,South East,,,2332.0
7872,9687328,HOUSE,VILLA,895000.0,2280,As new,Installed,6.0,No,1.0,No,4.0,Yes,1.0,,,1.0,,1540.0
7873,9712535,HOUSE,VILLA,1150000.0,8720,,Installed,4.0,No,,No,,Yes,,,,,,3300.0
